"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2025-07-13 21:38:59","6.804","-73.154","144.3","3.2","MLr_3","59","1.2","63","2.137","3.181","4.61","Los Santos - Santander, Colombia","","","","manual"
"2025-07-13 22:43:17","6.791","-73.324","130.93","3.4","MLr_vmm","100","0.7","41","0.849","0.849","1.60","Zapatoca - Santander, Colombia","","","","manual"
"2025-07-14 01:06:25","6.767","-73.132","143.01","2.5","MLr_3","38","1.1","66","2.883","3.687","5.67","Los Santos - Santander, Colombia","","","","manual"
"2025-07-14 03:14:24","6.774","-73.153","144.18","2.9","MLr_3","53","1.2","64","2.618","3.252","5.12","Los Santos - Santander, Colombia","","","","manual"
"2025-07-14 20:27:53","6.746","-73.127","139.49","2.5","MLr_3","40","1.1","67","2.655","3.459","5.41","Los Santos - Santander, Colombia","","","","manual"
"2025-07-14 23:11:17","6.784","-73.145","139.26","2.5","MLr_3","38","1.0","66","2.481","3.415","5.61","Los Santos - Santander, Colombia","","","","manual"
"2025-07-15 00:56:57","6.765","-73.149","146.99","2.6","MLr_3","39","1.2","66","2.873","3.700","5.29","Los Santos - Santander, Colombia","","","","manual"
"2025-07-15 03:24:07","6.776","-73.166","141.84","3.1","MLr_3","58","1.2","63","2.393","3.289","4.70","Los Santos - Santander, Colombia","","","","manual"
"2025-07-15 15:38:46","6.761","-73.134","141.13","2.6","MLr_3","38","1.1","67","2.619","3.745","5.66","Los Santos - Santander, Colombia","","","","manual"
"2025-07-16 02:19:01","6.772","-73.151","143.48","2.5","MLr_3","41","1.2","66","2.785","3.670","5.39","Los Santos - Santander, Colombia","","","","manual"
"2025-07-16 20:54:42","6.806","-73.054","140.91","2.8","MLr_3","12","0.4","221","3.182","3.182","3.20","Los Santos - Santander, Colombia","","","","manual"
"2025-07-16 20:58:32","6.83","-73.083","144.89","2.7","MLr_3","17","0.5","212","2.899","2.899","2.70","Los Santos - Santander, Colombia","","","","manual"
"2025-07-18 07:30:59","6.797","-73.138","146.05","3.2","MLr_3","62","1.3","65","2.395","3.066","4.80","Los Santos - Santander, Colombia","","","","manual"
"2025-07-18 13:03:32","6.786","-73.142","144.88","3.0","MLr_3","50","1.2","64","2.629","3.259","5.00","Los Santos - Santander, Colombia","","","","manual"
"2025-07-18 15:15:44","6.771","-73.129","147.58","3.3","MLr_3","67","1.2","65","2.022","3.031","4.36","Los Santos - Santander, Colombia","","","","manual"
"2025-07-19 03:46:40","6.765","-73.142","139.49","3.1","MLr_3","66","1.2","65","2.214","3.030","4.64","Los Santos - Santander, Colombia","","","","manual"
"2025-07-19 12:42:13","6.791","-73.175","138.32","2.7","MLr_3","41","1.3","64","2.981","3.672","5.51","Los Santos - Santander, Colombia","","","","manual"
"2025-07-20 07:13:24","6.827","-73.134","144.18","3.3","MLr_3","59","1.2","65","2.317","3.230","4.80","Los Santos - Santander, Colombia","","","","manual"
"2025-07-20 09:00:36","6.822","-73.151","148.16","2.6","MLr_3","42","1.2","65","2.592","3.812","5.20","Los Santos - Santander, Colombia","","","","manual"
"2025-07-20 13:32:27","6.776","-73.119","143.48","2.8","MLr_3","44","1.1","68","2.731","3.511","5.39","Los Santos - Santander, Colombia","","","","manual"
"2025-07-20 13:34:10","7.076","-73.486","108.75","2.7","MLr_vmm","84","0.8","36","0.990","0.990","1.90","Betulia - Santander, Colombia","","","","manual"
"2025-07-20 16:48:15","6.793","-73.095","144.18","2.6","MLr_3","42","1.2","70","2.610","3.767","5.45","Los Santos - Santander, Colombia","","","","manual"
"2025-07-20 18:17:16","6.801","-73.136","147.93","2.6","MLr_3","36","1.1","66","3.026","4.143","5.64","Los Santos - Santander, Colombia","","","","manual"
"2025-07-20 19:46:30","6.816","-73.117","142.54","3.0","MLr_3","56","1.2","66","2.211","3.363","4.78","Los Santos - Santander, Colombia","","","","manual"
"2025-07-20 21:42:50","6.793","-73.179","145.59","3.5","MLr_3","68","1.2","62","2.047","3.114","4.53","Los Santos - Santander, Colombia","","","","manual"
"2025-07-21 02:23:52","7.108","-73.025","154.49","2.5","MLr_3","35","1.2","64","3.254","4.454","5.68","Floridablanca - Santander, Colombia","","","","manual"
"2025-07-21 06:16:07","6.858","-73.19","143.95","3.7","MLr_3","84","1.3","60","2.135","2.989","4.38","Zapatoca - Santander, Colombia","","","","manual"
"2025-07-21 13:24:50","6.793","-73.142","148.63","3.1","MLr_3","58","1.1","65","2.261","3.493","4.86","Los Santos - Santander, Colombia","","","","manual"
